规模以上工业企业单位数
"
",11-1,"
","
",单位：个
"
",项  目,"
",1985年,"
",1990年,"
",1995年,"
",2000年,"
",2004年,"
",2005年
"
", 总 计,"
",2 411,"
",2 997,"
",4 987,"
",1 504,"
",2 885,"
",3 697
"
",一、按隶属关系分,"
",,"
","
","
","
","
"
"
", 中央工业,"
",24,"
",16,"
",102,"
",18,"
",21,"
",26
"
", 省属工业,"
",26,"
",22,"
",64,"
",7,"
",11,"
",37
"
", 地方工业,"
",2 361,"
",2 959,"
",4 821,"
",1 479,"
",2 853,"
",3 634
"
",二、按经济类型分,"
",,"
","
","
","
","
"
"
", 国有企业,"
",502,"
",568,"
",1 084,"
",179,"
",81,"
",76
"
", 集体企业,"
",1 907,"
",2 386,"
",2 731,"
",226,"
",123,"
",87
"
", 其他经济类型企业,"
",2,"
",43,"
",1 172,"
",1 099,"
",2 681,"
",3 534
"
"," #""三资""企业","
",-,"
",35,"
",1 027,"
",593,"
",1 299,"
",1 658
"
",三、按轻重工业分,"
",,"
","
","
","
","
"
"
", 轻工业,"
",1 398,"
",1 730,"
",2 858,"
",891,"
",1 568,"
",1 942
"
", 以农产品为原料,"
",943,"
",1 238,"
",1 920,"
",608,"
",-,"
",-
"
", 以非农产品为原料,"
",455,"
",492,"
",938,"
",283,"
",-,"
",-
"
", 重工业,"
",1 013,"
",1 267,"
",2 129,"
",613,"
",1 317,"
",1 755
"
", 采掘工业,"
",50,"
",81,"
",91,"
",36,"
",-,"
",-
"
", 原料工业,"
",110,"
",189,"
",312,"
",117,"
",-,"
",-
"
", 加工工业,"
",853,"
",997,"
",1 726,"
",460,"
",-,"
",-
"
",四、按企业规模分,"
","
",,"
","
","
","
","
"
"
", 大型企业,"
",26,"
",42,"
",89,"
",202,"
",43,"
",51
"
", 中型企业,"
",80,"
",168,"
",216,"
",229,"
",327,"
",441
"
", 小型企业,"
",2 305,"
",2 787,"
",4 480,"
",1 073,"
",2 515,"
",3 205
"
",五、按工业行业分,"
",,"
","
","
","
","
"
"
", 黑色金属矿采选业,"
",-,"
",4,"
",6,"
",1,"
",6,"
",2
"
", 有色金属矿采选业,"
",2,"
",7,"
",9,"
",7,"
",5,"
",5
"
", 非金属矿采选业,"
",43,"
",70,"
",87,"
",29,"
",23,"
",34
"
", 自来水生产和供应业,"
",8,"
",12,"
",12,"
",8,"
",11,"
",10
"
", 食品加工制造业,"
",244,"
",324,"
",437,"
",170,"
",93,"
",121
"
", #粮食及饲料加工,"
",62,"
",57,"
",60,"
",27,"
",-,"
",-
"
", 饮料制造业,"
",31,"
",44,"
",74,"
",23,"
",31,"
",29
"
", #饮料酒,"
",20,"
",28,"
",27,"
",19,"
",16,"
",20
