按行业分规模以上三资工业企业主要经济效益指标
"
", 11-12,"
",(2005年),"
",单位：万元
"
",行业 ,"
",总 资 产,贡 献 率,(%),"
",资产负债率,(%),"
",流动资产,周围次数,(次/年),"
",工业成本,费用利润率,(%),"
",全员劳动,生 产 率,"(元/人,年)","
",产品销售率,(%)
"
", 总 计,"
",13.84,"
",55.98,"
",2.73,"
",6.3,"
",84 287,"
",97.59
"
",煤炭开采和洗选业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",石油和天然气开采业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",黑色金属矿采选业,"
",96.49,"
",45.74,"
",3.68,"
",23.03,"
",173 467,"
",94.28
"
",有色金属矿采选业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",非金属矿采选业,"
",40.64,"
",36.19,"
",7.9,"
",12.51,"
",104 394,"
",96.84
"
",其他采矿业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",农副食品加工业,"
",18.71,"
",59.48,"
",3.24,"
",6.87,"
",141 588,"
",97.09
"
",食品制造业,"
",21.72,"
",43.8,"
",2.8,"
",11.77,"
",180 444,"
",99.4
"
",饮料制造业,"
",22.7,"
",59.58,"
",3.95,"
",10.52,"
",127 820,"
",97.1
"
",烟草制品业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",纺织业,"
",11.06,"
",64.71,"
",2.64,"
",5.29,"
",72 242,"
",94.93
"
",纺织服装、鞋、帽制造业,"
",10.7,"
",42.89,"
",2.94,"
",4.62,"
",33 804,"
",98.45
"
",皮革、毛皮、羽毛(绒)及其制品业,"
",19.26,"
",71.67,"
",3.79,"
",5.16,"
",52 174,"
",96.56
"
",木材加工及木、竹、藤、棕、草制品业,"
",2.06,"
",45.61,"
",2.5,"
",-1.16,"
",44 465,"
",100.54
"
",家具制造业,"
",6.88,"
",77.44,"
",2.1,"
",2.3,"
",75 778,"
",98.38
"
",造纸及纸制品业,"
",14.04,"
",51.71,"
",2.03,"
",8.74,"
",89 297,"
",100.45
"
",印刷业和记录媒介的复制,"
",26.05,"
",29.48,"
",2.03,"
",17.32,"
",123 298,"
",113.41
"
",文教体育用品制造业,"
",11.74,"
",62.84,"
",2.51,"
",4.94,"
",43 670,"
",103.47
"
",石油加工、炼焦及核燃料加工业,"
",18.43,"
",67.33,"
",2.73,"
",8.32,"
",164 170,"
",98.09
"
",化学原料及化学制品制造业,"
",9.2,"
",48.98,"
",2.9,"
",4.32,"
",179 736,"
",102.82
"
",医药制造业,"
",11.98,"
",34.64,"
",1.73,"
",6.01,"
",91 996,"
",93.3
"
",化学纤维制造业,"
",7.28,"
",49.26,"
",1.8,"
",4.02,"
",125 851,"
",98.91
"
",橡胶制品业,"
",19.03,"
",52.67,"
",3.1,"
",7.74,"
",50 011,"
",98.92
"
",塑料制品业,"
",11.53,"
",55.23,"
",2.68,"
",5.06,"
",89 790,"
",98.27
"
",非金属矿物制品业,"
",6.74,"
",43.17,"
",2.05,"
",4.65,"
",123 525,"
",92.98
"
",黑色金属冶炼及压延加工业,"
",6.21,"
",66.78,"
",2.3,"
",1.65,"
",212 413,"
",98.78
"
",有色金属冶炼及压延加工业,"
",-3.86,"
",78.35,"
",4.83,"
",-3.99,"
",206 392,"
",95.14
"
",金属制品业,"
",14.6,"
",50.53,"
",2.3,"
",9.39,"
",156 928,"
",98.83
"
",通用设备制造业,"
",8.36,"
",54.09,"
",2.5,"
",3.79,"
",143 651,"
",100.21
"
",专用设备制造业,"
",22.28,"
",48,"
",3.28,"
",14.06,"
",100 735,"
",95.21
"
",交通运输设备制造业,"
",5.65,"
",72.73,"
",1.76,"
",1.38,"
",90 601,"
",91.04
"
",电气机械及器材制造业,"
",15.85,"
",65.1,"
",2.35,"
",6.97,"
",91 051,"
",97.88
"
",通信设备、计算机及其他电子设备制造业,"
",18.68,"
",49.14,"
",2.67,"
",9.37,"
",128 287,"
",96.06
"
",仪器仪表及文化、办公用机械制造业,"
",19.86,"
",42.14,"
",3.34,"
",6.1,"
",113 433,"
",104.82
"
",工艺品及其他制造业,"
",12.94,"
",47.74,"
",2.33,"
",6.23,"
",51 175,"
",93.31
"
",废弃资源和废旧材料回收加工业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",电力、热力的生产和供应业,"
",9.04,"
",55.72,"
",3.23,"
",10.88,"
",2 684 000,"
",100
"
",燃气生产和供应业,"
",10.01,"
",68.31,"
",0.97,"
",22.44,"
",65 155,"
",99.67
"
",水的生产和供应业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",国有控股,"
",6.68,"
",62.84,"
",1.78,"
",2.1,"
",121 396,"
",99.33
"
",三资,"
",13.84,"
",55.98,"
",2.73,"
",6.3,"
",84 287,"
",97.59
"
",大中型,"
",11.14,"
",62.42,"
",2.81,"
",4.7,"
",93 396,"
",97.5
