按 行 业 分 规 模 以 上 工 业 企 业 主 要 经 济 效 益 指 标
"
", 11-10,"
",(2005年),"
",单位：万元
"
",行业 ,"
",总 资 产,贡 献 率,(%),"
",资产负债率,(%),"
",流动资产,周围次数,(次/年),"
",工业成本,费用利润率,(%),"
",全员劳动,生 产 率,"(元/人,年)","
",产品销售率,(%)
"
", 总 计,"
",13.59,"
",57.76,"
",2.59,"
",4.92,"
",121 550,"
",98.12
"
", 按轻重工业分,"
","
","
","
","
","
"
"
", 轻工业,"
",15.93,"
",53.46,"
",2.83,"
",5.15,"
",108 361,"
",98.77
"
", 重工业,"
",11.59,"
",61.43,"
",2.38,"
",4.69,"
",137 961,"
",97.49
"
", 按行业分,"
","
","
","
","
","
"
"
", 煤炭开采和洗选业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
", 石油和天然气开采业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
", 黑色金属矿采选业,"
",62.47,"
",24.16,"
",3.37,"
",20.55,"
",192 194,"
",96.37
"
", 有色金属矿采选业,"
",37.75,"
",52.4,"
",4.73,"
",25.39,"
",52 775,"
",98.2
"
", 非金属矿采选业,"
",45.48,"
",42.87,"
",5.88,"
",14.29,"
",122 419,"
",95.46
"
", 其他采矿业,"
",849.7,"
",48.3,"
",20.51,"
",33.31,"
",444 333,"
",100
"
", 农副食品加工业,"
",18.62,"
",60.24,"
",3.32,"
",6.26,"
",143 396,"
",96.43
"
", 食品制造业,"
",24.11,"
",47.68,"
",3.26,"
",10.05,"
",168 357,"
",98.95
"
", 饮料制造业,"
",16.01,"
",36.05,"
",1.42,"
",11.78,"
",190 335,"
",114.81
"
", 烟草制品业,"
",54.13,"
",38.13,"
",1.55,"
",24.56,"
",1 748 948,"
",102.71
"
", 纺织业,"
",11.81,"
",59.01,"
",2.92,"
",4.69,"
",78 437,"
",96.88
"
", 纺织服装、鞋、帽制造业,"
",11.97,"
",52.4,"
",2.43,"
",5.66,"
",41 990,"
",96.5
"
", 皮革、毛皮、羽毛(绒)及其制品业,"
",19.9,"
",70.46,"
",3.53,"
",5.44,"
",54 671,"
",96.62
"
", 木材加工及木、竹、藤、棕、草制品业,"
",29.97,"
",43.25,"
",3.81,"
",6.69,"
",206 383,"
",95.96
"
", 家具制造业,"
",11.56,"
",68.3,"
",2.54,"
",3.31,"
",80 002,"
",97.51
"
", 造纸及纸制品业,"
",16.73,"
",51.1,"
",2.32,"
",7.67,"
",93 190,"
",96.42
"
", 印刷业和记录媒介的复制,"
",16.75,"
",48.73,"
",1.88,"
",10.43,"
",87 116,"
",102.77
"
", 文教体育用品制造业,"
",15.59,"
",63.52,"
",2.68,"
",6.17,"
",50 660,"
",101.83
"
", 石油加工、炼焦及核燃料加工业,"
",7.23,"
",68.51,"
",3.07,"
",-2.92,"
",535 205,"
",99.98
"
", 化学原料及化学制品制造业,"
",8.1,"
",58.94,"
",2.04,"
",3.1,"
",141 038,"
",99.4
"
", 医药制造业,"
",10.75,"
",48.1,"
",1.47,"
",5.84,"
",144 338,"
",97.05
"
", 化学纤维制造业,"
",7.82,"
",50.86,"
",1.93,"
",4,"
",116 841,"
",97.9
"
", 橡胶制品业,"
",12.03,"
",65.92,"
",2.15,"
",5.5,"
",89 905,"
",94.78
"
", 塑料制品业,"
",11.81,"
",57.2,"
",2.42,"
",5.03,"
",84 641,"
",97.1
"
", 非金属矿物制品业,"
",11.45,"
",56.29,"
",2.47,"
",4.4,"
",193 635,"
",97.81
"
", 黑色金属冶炼及压延加工业,"
",7.36,"
",70.51,"
",3.44,"
",1.15,"
",187 388,"
",99.15
"
", 有色金属冶炼及压延加工业,"
",5.91,"
",77.13,"
",5.14,"
",-0.62,"
",191 912,"
",95.43
"
", 金属制品业,"
",18.35,"
",51.92,"
",2.97,"
",7.65,"
",143 067,"
",97.06
"
", 通用设备制造业,"
",15.6,"
",62.81,"
",2.3,"
",6.45,"
",123 336,"
",95.85
"
", 专用设备制造业,"
",21.98,"
",46.98,"
",2.81,"
",9.25,"
",104 917,"
",95.12
"
", 交通运输设备制造业,"
",7.06,"
",68.63,"
",1.65,"
",3.67,"
",106 319,"
",96.35
"
", 电气机械及器材制造业,"
",11.47,"
",52.97,"
",2.63,"
",4.04,"
",247 868,"
",99.46
"
", 通信设备、计算机及其他电子设备制造业,"
",16.32,"
",52.97,"
",3.51,"
",4.56,"
",163 214,"
",98.9
"
", 仪器仪表及文化、办公用机械制造业,"
",16.23,"
",51.61,"
",2.48,"
",5.73,"
",110 592,"
",100.39
"
", 工艺品及其他制造业,"
",21.16,"
",47.59,"
",2.94,"
",7.43,"
",66 621,"
",94.55
"
", 废弃资源和废旧材料回收加工业,"
",3.19,"
",15.43,"
",6.16,"
",2.02,"
",1 081 684,"
",99.32
"
", 电力、热力的生产和供应业,"
",7.29,"
",72.91,"
",2.13,"
",0.58,"
",297 789,"
",99.65
"
", 燃气生产和供应业,"
",3.68,"
",42.07,"
",1.21,"
",3.35,"
",102 210,"
",107.15
"
", 水的生产和供应业,"
",1.48,"
",58.84,"
",0.78,"
",-0.69,"
",69 519,"
",98.51
