"
",零 售 业 营 业 收 入、实 现 利 润 前 30 位 企 业
"
",14-8,"
",(2005年),"
"
"
",零 售 业 营 业 收 入 前 30 位 企 业,"
",所在地区,"
",实 现 利 润 前 30 位 企 业,"
",所在地区
"
", 青岛利群集团股份有限公司,"
",市北区,"
", 青岛利群集团股份有限公司,"
",市北区
"
", 青岛维客集团股份有限公司,"
",市南区,"
", 青岛永旺东泰商业有限公司,"
",市南区
"
", 青岛国美电器有限公司,"
",四方区,"
", 青岛家乐福商业有限公司,"
",市南区
"
", 青岛永旺东泰商业有限公司,"
",市南区,"
", 青岛国货城阳购物中心有限公司,"
",城阳区
"
", 青岛家乐福商业有限公司,"
",市南区,"
", 青岛第一百盛有限公司,"
",市南区
"
", 青岛北方国贸大厦股份有限公司,"
",李沧区,"
", 青岛欧海家居有限公司,"
",市北区
"
", 青岛第一百盛有限公司,"
",市南区,"
", 青岛苏宁电器有限公司,"
",市北区
"
", 青岛海信实业股份有限公司,"
",市南区,"
", 青岛国货集团新世纪购物中心有限公司,"
",胶州市
"
", 青岛苏宁电器有限公司,"
",市南区,"
", 青岛华洲实业有限公司,"
",李沧区
"
", 青岛利客来商贸股份有限公司,"
",李沧区,"
", 青岛新华书店有限责任公司,"
",市南区
"
", 青岛日产汽车销售服务有限公司,"
",市北区,"
", 青岛世泰丰田汽车销售服务有限公司,"
",四方区
"
", 青岛国货城阳购物中心有限公司,"
",城阳区,"
", 青岛维客集团股份有限公司,"
",李沧区
"
", 青岛阳光百货股份有限公司,"
",市南区,"
", 青岛阳光百货股份有限公司,"
",市南区
"
", 青岛福日汽车销售有限公司,"
",李沧区,"
", 青岛美森置业有限公司,"
",平度市
"
", 青岛通宝汽车有限公司,"
",市南区,"
", 青岛平度维克购物中心有限公司,"
",平度市
"
", 青岛成达汽车销售服务有限公司,"
",崂山区,"
", 青岛安利捷丰田汽车销售有限公司,"
",四方区
"
", 青岛佳恒汽车销售有限公司,"
",市南区,"
", 青岛润泰事业有限公司,"
",市南区
"
", 青岛六和汽车销售有限公司,"
",四方区,"
", 青岛国货商厦有限公司,"
",黄岛区
"
", 青岛安华机电设备有限公司,"
",市南区,"
", 青岛国美电器有限公司,"
",四方区
"
", 青岛新华书店有限责任公司,"
",市南区,"
", 青岛北方国贸大厦股份有限公司,"
",李沧区
"
", 青岛润泰事业有限公司,"
",市南区,"
", 青岛海信实业股份有限公司,"
",市南区
"
", 青岛国货集团新世纪购物中心有限公司,"
",胶州市,"
", 青岛协亨通讯设备有限公司,"
",市北区
"
", 山东省城市车辆青岛有限公司,"
",市南区,"
", 青岛宏祥液化气有限公司,"
",莱西市
"
", 青岛万事达汽车销售有限公司,"
",李沧区,"
", 青岛佳恒汽车销售有限公司,"
",市南区
"
", 青岛喜盈门集团喜盈门商场,"
",城阳区,"
", 青岛北星汽车销售有限公司,"
",四方区
"
", 青岛润华汽车销售服务有限公司,"
",城阳区,"
", 青岛平度市新华书店有限责任公司,"
",平度市
"
", 青岛名流车行有限公司,"
",即墨市,"
", 胶南市糖酒副食品总公司,"
",胶南市
"
", 青岛安利捷丰田汽车销售有限公司,"
",四方区,"
", 青岛利客来商贸股份有限公司,"
",李沧区
"
", 青岛国货商厦有限公司,"
",市南区,"
", 青岛中百佳乐家超市有限公司,"
",平度市
"
", 青岛世泰丰田汽车销售服务有限公司,"
",四方区,"
", 青岛医保药品城有限公司,"
",市北区
