计划生育情况
"
",2-8 ,"
",(1978-2005年)
"
",年 份,"
",已婚有生育能力,的 人 数(人),"
",节育人数,(人),"
",节育率,(%),"
",四项手术人数,(人), 
"
",#放环人数
"
",1978,"
",694 292,"
",571 077,"
",82.25,"
",125 913,"
",68 475
"
",1980,"
",763 226,"
",673 069,"
",88.19,"
",180 979,"
",70 927
"
",1985,"
",1 017 649,"
",929 284,"
",91.32,"
",146 742,"
",67 234
"
",1990,"
",1 258 232,"
",1 165 216,"
",92.61,"
",149 327,"
",70 964
"
",1991,"
",1 319 722,"
",1 219 795,"
",92.43,"
",153 970,"
",77 406
"
",1992,"
",1 348 503,"
",1 256 271,"
",93.16,"
",90 107,"
",56 226
"
",1993,"
",1 380 717,"
",1 271 884,"
",92.12,"
",76 783,"
",45 492
"
",1994,"
",1 400 425,"
",1 268 378,"
",90.57,"
",73 169,"
",41 482
"
",1995,"
",1 427 442,"
",1 285 264,"
",90.04,"
",84 099,"
",52 716
"
",1996,"
",1 459 465,"
",1 316 516,"
",90.21,"
",84 370,"
",57 648
"
",1997,"
",1 482 204,"
",1 340 399,"
",90.43,"
",76 579,"
",55 285
"
",1998,"
",1 505 499,"
",1 367 648,"
",90.84,"
",74 199,"
",50 526
"
",1999,"
",1 523 471,"
",1 378 131,"
",90.46,"
",73 663,"
",44 976
"
",2000,"
",1 521 331,"
",1 371 447,"
",90.15,"
",74 285,"
",45 999
"
",2001,"
",1 514 274,"
",1 360 543,"
",89.85,"
",70 205,"
",43 601
"
",2002,"
",1 541 855,"
",1 400 145,"
",90.81,"
",50 575,"
",45 453
"
",2003,"
",1 518 448,"
",1 354 917,"
",89.23,"
",57 458,"
",47 953
"
",2004,"
",1 540 706,"
",1 357 703,"
",88.04,"
",52 934,"
",42 859
"
",2005,"
",1 590 476,"
",1 417 755,"
",89.14,"
",58 097,"
",49 716
