主 要 年 份 固 定 资 产 投 资 
"
", 4-1 续表,"
",单位：万元
"
",年 份,"
",按 构  成 分,"
",按 资 金 来 源 分
"
",建筑安装,工 程,"
",设备工器,具 购 置,"
",其他费用,"
",国家投资,"
",国内贷款,"
",利用外资,"
",自 筹 及,其 他
"
",1949,"
",11,"
",3,"
",2,"
",16,"
",-,"
",-,"
",-
"
",1952,"
",2 146,"
",870,"
",81,"
",1 512,"
",-,"
",-,"
",1 585
"
",1957,"
",2 853,"
",2 773,"
",297,"
",3 816,"
",-,"
",-,"
",2 107
"
",1962,"
",1 631,"
",984,"
",132,"
",2 205,"
",-,"
",-,"
",542
"
",1965,"
",3 346,"
",1 859,"
",276,"
",4 451,"
",-,"
",-,"
",1 030
"
",1970,"
",3 136,"
",2 835,"
",129,"
",2 721,"
",-,"
",-,"
",3 379
"
",1975,"
",7 489,"
",8 133,"
",217,"
",9 378,"
",1 362,"
",-,"
",5 099
"
",1978,"
",19 968,"
",9 124,"
",568,"
",16 828,"
",1 601,"
",-,"
",11 231
"
",1980,"
",30 993,"
",15 541,"
",965,"
",10 371,"
",12 925,"
",1 420,"
",22 783
"
",1985,"
",64 665,"
",35 100,"
",7 656,"
",17 377,"
",35 888,"
",1 136,"
",53 020
"
",1989,"
",141 821,"
",95 333,"
",17 269,"
",38 747,"
",79 999,"
",25 081,"
",114 939
"
",1990,"
",167 731,"
",91 305,"
",25 540,"
",24 687,"
",91 895,"
",23 688,"
",144 306
"
",1991,"
",196 212,"
",108 929,"
",43 890,"
",22 615,"
",131 676,"
",38 325,"
",156 415
"
",1992,"
",304 060,"
",208 384,"
",70 624,"
",22 660,"
",213 217,"
",89 130,"
",258 061
"
",1993,"
",600 011,"
",225 555,"
",127 708,"
",23 736,"
",208 672,"
",94 469,"
",626 397
"
",1994,"
",842 809,"
",272 126,"
",214 781,"
",26 062,"
",318 334,"
",221 265,"
",764 055
"
",1995,"
",1 020 484,"
",385 934,"
",241 863,"
",25 683,"
",379 198,"
",328 124,"
",915 276
"
",1996,"
",929 735,"
",458 284,"
",222 543,"
",35 639,"
",444 443,"
",310 722,"
",819 758
"
",1997,"
",875 057,"
",485 122,"
",251 723,"
",27 928,"
",297 089,"
",363 789,"
",923 096
"
",1998,"
",1 034 500,"
",574 852,"
",300 359,"
",67 762,"
",491 812,"
",170 709,"
",1 179 428
"
",1999,"
",1 456 473,"
",459 596,"
",289 822,"
",128 603,"
",584 120,"
",145 589,"
",1 347 579
"
",2000,"
",1 476 397,"
",652 640,"
",297 783,"
",75 978,"
",489 697,"
",164 175,"
",1 806 238
"
",2001,"
",1 781 235,"
",744 549,"
",408 944,"
",93 491,"
",620 562,"
",217 526,"
",2 157 787
"
",2002,"
",2 328 492,"
",796 685,"
",558 446,"
",78 775,"
",719 677,"
",411 704,"
",2 831 288
"
",2003,"
",3 544 790,"
",1 133 333,"
",797 403,"
",127 861,"
",989 178,"
",722 644,"
",4 237 643
"
",2004,"
",6 413 046,"
",2 312 139,"
",1 120 461,"
",85 549,"
",1 100 297,"
",1 016 145,"
",8 245 272
"
",2005,"
",8 949 231,"
",3 141 732,"
",1 941 997,"
",136 632,"
",1 250 343,"
",1 850 921,"
",11 540 604
