规模以上投资项目新增主要生产能力(或工程效益)
"
", 4-6续表,"
",(2005年)
"
",分组指标,"
",本年新增能力
"
", 高等院校：学生席位(个),"
",12 130
"
", 建筑面积(平方米),"
",223 931
"
", 中等学校：学生席位(个),"
",6 504
"
", 建筑面积(平方米),"
",168 177
"
", 小学校：学生席位(个),"
",6 760
"
", 建筑面积(平方米),"
",24 691
"
", 其他学校：学生席位(个),"
",1 220
"
", 建筑面积(平方米),"
",29 080
"
", 公共图书馆：藏书量(万册(件)),"
",100
"
", 阅览室座席(个),"
",200
"
", 建筑面积(平方米),"
",10 200
"
", 医院病床(张),"
",2 088
"
", 宾馆、旅馆、招待所客房数(间),"
",1 092
"
", 宾馆、旅馆、招待所客房数(平方米),"
",40 268
"
", 城市自来水供水能力(万吨/日),"
",59
"
", 城市自来水管道长度(公里),"
",61.5
"
", 城市煤气生产能力(万立方米／日),"
",2
"
", 城市天然气储气能力(万立方米／日),"
",5
"
", 城市供热能力：蒸汽(吨／小时),"
",800
"
", 热水(兆瓦／小时),"
",613
"
", 城市道路扩建长度(公里),"
",80.2
"
", 城市道路扩建面积(万平方米),"
",66.5
"
", 城市排水管道铺设长度(公里),"
",109.9
"
", 城市污水处理能力(万吨／日),"
",8
"
", 城市永久性桥梁(座),"
",2
"
", 客车制造(辆／年),"
",8 000
"
", 电视机(万部／年),"
",410
"
", 移动电话机(手持机)(指生产能力)(部／年),"
",4 800 050
"
", 二级公路(公里),"
",133
"
", 钢材(万吨／年),"
",37
"
", 发电机组容量(万千瓦),"
",13
"
", 汽车制造(辆／年),"
",8 100
"
", 乳制品(吨／年),"
",9 300
"
", 酒(万吨／年),"
",22.21
