"
",房地产价格分类指数
"
",7-5,"
",(以上年价格为100)
"
",房地产销售价格指数,"
",2005年,"
",房地产租赁价格指数,"
",2005年
"
", 总计,"
",110.9,"
", 总计,"
",103.3
"
", 一、商品房,"
",112.2,"
", 一、住宅,"
",103.8
"
", (一)住宅,"
",112.7,"
", (一)普通住宅,"
",105.2
"
", 1.经济适用房,"
",109.8,"
", (二)高档住宅,"
",105.2
"
", 2.普通住宅,"
",113.0,"
", (三)经济适用房,"
",115.1
"
", (1)多层住宅,"
",113.5,"
", (四)廉住房,"
",100.0
"
", (2)高层住宅,"
",111.9,"
", 二、办公楼,"
",102.9
"
", 3.高档住宅,"
",113.1,"
", (一)写字楼,"
",103.5
"
", (二)非住宅,"
",109.4,"
", (二)普通办公用房,"
",100.6
"
", #商业用房,"
",114.5,"
", 三、商业娱乐用房,"
",102.7
"
", 二、二手房,"
",109.3,"
", 四、工业仓储用房,"
",100.0
"
", (一)住宅,"
",109.7,"
", (一)工业厂房,"
",100.0
"
", (二)非住宅,"
",107.6,"
", (二)仓库,"
",100.0
