主 要 年 份 银 行 现 金 收 支
"
", 6-6,"
",单位：万元
"
",年  份,"
",现金收入,"
",,"
",现金支出,"
",,"
",现  金,投放(+),回笼(-)
"
",#商品销售,"
",#服务事业,"
",#工资性,"
",#行政管理
"
",1949,"
",3 119,"
",-,"
",-,"
",3 236,"
",-,"
",-,"
",117
"
",1952,"
",28 804,"
",-,"
",-,"
",28 287,"
",-,"
",-,"
",-517
"
",1957,"
",45 077,"
",-,"
",-,"
",44 608,"
",-,"
",-,"
",-469
"
",1962,"
",56 188,"
",34 524,"
",5 500,"
",52 522,"
",23 283,"
",1 826,"
",-3 666
"
",1965,"
",56 851,"
",37 919,"
",4 092,"
",57 013,"
",25 064,"
",2 095,"
",162
"
",1970,"
",66 130,"
",47 520,"
",4 651,"
",63 976,"
",26 324,"
",2 000,"
",-2 154
"
",1975,"
",91 815,"
",67 664,"
",6 179,"
",92 100,"
",34 648,"
",3 391,"
",285
"
",1978,"
",113 340,"
",82 479,"
",8 017,"
",113 947,"
",45 981,"
",5 086,"
",607
"
",1980,"
",173 520,"
",120 406,"
",10 971,"
",178 729,"
",73 397,"
",7 657,"
",5 209
"
",1985,"
",598 363,"
",223 521,"
",25 444,"
",595 731,"
",134 624,"
",19 039,"
",-2 632
"
",1988,"
",1 398 031,"
",429 809,"
",55 593,"
",1 417 676,"
",263 138,"
",52 162,"
",19 645
"
",1989,"
",1 656 601,"
",460 190,"
",71 033,"
",1 658 737,"
",317 850,"
",64 680,"
",2 136
"
",1990,"
",1 876 881,"
",469 615,"
",87 866,"
",1 906 673,"
",363 904,"
",80 351,"
",29 792
"
",1991,"
",2 283 805,"
",545 935,"
",106 979,"
",2 322 834,"
",414 840,"
",101 651,"
",39 029
"
",1992,"
",3 079 322,"
",706 552,"
",148 343,"
",3 144 721,"
",510 471,"
",156 282,"
",65 399
"
",1993,"
",5 193 485,"
",1 029 624,"
",236 637,"
",5 256 445,"
",672 287,"
",310 720,"
",86 930
"
",1994,"
",6 294 925,"
",1 186 501,"
",336 485,"
",6 453 386,"
",900 221,"
",463 399,"
",196 356
"
",1995,"
",8 764 491,"
",1 467 021,"
",422 847,"
",9 004 585,"
",1 185 977,"
",577 619,"
",196 356
"
",1996,"
",11 156 505,"
",1 658 193,"
",549 176,"
",11 484 504,"
",1 207 512,"
",700 358,"
",318 652
"
",1997,"
",15 373 658,"
",2 045 935,"
",690 023,"
",15 508 138,"
",1 219 955,"
",804 803,"
",411 518
"
",1998,"
",16 964 006,"
",2 251 331,"
",899 472,"
",17 333 720,"
",1 561 412,"
",1 019 060,"
",400 945
"
",1999,"
",20 976 030,"
",2 651 046,"
",1 080 667,"
",20 976 030,"
",1 791 625,"
",1 248 999,"
",521 976
"
",2000,"
",24 930 720,"
",3 251 409,"
",1 323 025,"
",25 356 500,"
",2 091 646,"
",1 540 663,"
",425 780
"
",2001,"
",28 448 088,"
",3 466 253,"
",1 478 646,"
",28 960 617,"
",2 174 856,"
",2 059 759,"
",512 529
"
",2002,"
",29 132 065,"
",4 032 095,"
",1 729 895,"
",29 795 311,"
",2 018 679,"
",2 579 733,"
",663 246
"
",2003,"
",36 734 943,"
",4 924 862,"
",1 975 237,"
",37 567 906,"
",2 189 917,"
",3 228 401,"
",833 579
"
",2004,"
",47 393 355,"
",5 879 881,"
",2 392 491,"
",48 216 917,"
",2 777 982,"
",3 975 391,"
",823 562
"
",2005,"
",54 644 469,"
",6 252 843,"
",2 545 605,"
",55 743 626,"
",3 523 460,"
",4 160 210,"
",1 099 157
