"
",人民生活基本情况
"
", 8-1,"
",(1990-2005年)
"
",,"
",单 位,"
",1990年,"
",1995年,"
",2000年,"
",2004年,"
",2005年
"
",一、城乡居民收入,"
",,"
",,"
",,"
",,"
",,"
",
"
", 农民年人均纯收入,"
",元,"
",952,"
",2 225,"
",3 637,"
",5 080,"
",5806
"
", 全社会单位职工年平均工资,"
",元,"
",2 400,"
",6 164,"
",10 072,"
",13 445,"
",15616
"
", 城市居民年人均可支配收入,"
",元,"
",1 624,"
",5 612,"
",8 016,"
",11 089,"
",12920
"
",二、城乡居民消费,"
",,"
",,"
",,"
",,"
",,"
",
"
", 城市：粮食,"
",千克,"
",114.48,"
",75.6,"
",69.6,"
",82.49,"
",83.66
"
", 食用植物油,"
",千克,"
",6.96,"
",6,"
",8.4,"
",8.95,"
",8.9
"
", 鲜蛋,"
",千克,"
",18.48,"
",24,"
",25.2,"
",18.9,"
",19.59
"
", 鱼,"
",千克,"
",11.52,"
",13.2,"
",15.6,"
",12.16,"
",12.68
"
", 农村：粮食,"
",千克,"
",248.33,"
",185.01,"
",216.45,"
",153.12,"
",155.79
"
", 食用油,"
",千克,"
",6.56,"
",7.54,"
",9.03,"
",6.74,"
",6.01
"
", 肉类,"
",千克,"
",9.22,"
",9.62,"
",12.36,"
",20.95,"
",23.53
"
", 水产品,"
",千克,"
",4.44,"
",10.77,"
",13.54,"
",13.48,"
",14.28
"
",三、城市居民人均住宅建筑面积,"
",平方米,"
",14.16,"
",17.12,"
",20.76,"
",24.22,"
",22.96
"
", 农村居民人均居住面积,"
",平方米,"
",19.6,"
",23.03,"
",25.88,"
",27.99,"
",29.54
"
",四、城市每万人拥有公共车辆,"
",辆,"
",6.38,"
",13.18,"
",19.95,"
",20.32,"
",20.63
"
",五、城乡居民储蓄余额,"
",亿元,"
",65.59,"
",268.79,"
",535.32,"
",1 089.49,"
",1343.10
"
", 人均储蓄余额,"
",元,"
",984,"
",3 926,"
",7 575,"
",15 009,"
",18248
"
",六、学龄儿童入学率,"
",%,"
",99.84,"
",99.82,"
",99.99,"
",99.99,"
",99.99
"
", 每万人口中大学在校学生,"
",人,"
",23.15,"
",36.38,"
",65.28,"
",276,"
",324
"
",七、城市每百户拥有彩色电视机,"
",台,"
",68,"
",100,"
",120,"
",123.5,"
",118.25
"
", 城市每百户拥有电冰箱,"
",台,"
",62,"
",89,"
",94.3,"
",92.5,"
",94.5
"
",八、每万人口拥有医疗床位,"
",张,"
",35.3,"
",36.93,"
",34.5,"
",34.8,"
",41.3
"
", 每万人口拥有医生,"
",人,"
",20.6,"
",20.22,"
",21,"
",19.1,"
",20.3
"
",九、城市每一就业者负担人数(包括本人),"
",人,"
",1.72,"
",1.58,"
",1.82,"
",1.86,"
",1.97
"
", 农村每一就业者负担人数(包括本人),"
",人,"
",1.6,"
",1.41,"
",1.33,"
",1.35,"
",1.33
"
",十、农民、城市居民人均年收入对比,"
",,"
",1∶1.7,"
",1∶2.4,"
",1∶2.2,"
",1∶2.2,"
",1∶2.2
"
", 农民、城市居民人均年生活费支出对比,"
",,"
",1∶2.4,"
",1∶2.7,"
",1∶2.8,"
",1∶2.7,"
",1∶2.6
