分 市、区 肉、蛋、奶、蜂 蜜 产 量
"
", 10-19,"
",(2005年),"
",单位：吨
"
",市、区名称,"
",肉类产量,"
", ,"
",禽 蛋,"
",牛 羊 奶,"
",蜂 蜜
"
",#猪 肉,"
",#牛 肉,"
",#羊 肉,"
",#禽 肉
"
", 总 计,"
",819437553,"
",280703508,"
",63792904,"
",11034538,"
",455489910,"
",386280008,"
",520019574,"
",22917799
"
", 市 区,"
",13781850,"
",5856060,"
",75625,"
",32760,"
",7768150,"
",27210100,"
",34692753,"
",22866369
"
", #李 沧 区,"
",1614500,"
",1606000,"
","
","
",8500,"
",1980000,"
",380800,"
"
"
", #城 阳 区,"
",12167350,"
",4250060,"
",75625,"
",32760,"
",7759650,"
",25230100,"
",16909200,"
",10000
"
", 黄 岛 区,"
",2930212,"
",1792953,"
",45210,"
",84754,"
",995493,"
",3051310,"
",1036720,"
"
"
", 崂 山 区,"
",6969050,"
",5504492,"
",153440,"
",16730,"
",1294388,"
",4431343,"
",4539649,"
",11270
"
", 胶 州 市,"
",91648500,"
",45114000,"
",12437000,"
",2298500,"
",30430000,"
",71852000,"
",58765262,"
"
"
", 即 墨 市,"
",136502841,"
",41036761,"
",7360447,"
",1577884,"
",86023689,"
",63757000,"
",75827739,"
",36000
"
", 平 度 市,"
",268157175,"
",71302052,"
",29703342,"
",1908100,"
",164959130,"
",67534600,"
",36200420,"
",15430
"
", 胶 南 市,"
",114942925,"
",55347190,"
",8537840,"
",3615810,"
",41619060,"
",49593655,"
",88848400,"
"
"
", 莱 西 市,"
",184505000,"
",54750000,"
",5480000,"
",1500000,"
",122400000,"
",98850000,"
",225685000,"
"
