历 年 全 部 工 业 总 产 值
"
", 11-3,"
",单位：万元
"
",年 份,"
",工业总产值,"
", 
"
",轻工业产值,"
",重工业产值
"
",1 9 4 9,"
",21 605,"
",18 494,"
",3 111
"
",1 9 5 0,"
",34 010,"
",28 720,"
",5 290
"
",1 9 5 1,"
",53 538,"
",44 600,"
",8 938
"
",1 9 5 2,"
",84 295,"
",69 258,"
",15037
"
",1 9 5 3,"
",115 222,"
",74 716,"
",40 506
"
",1 9 5 4,"
",126 064,"
",80 604,"
",45 460
"
",1 9 5 5,"
",118 935,"
",86 956,"
",31 979
"
",1 9 5 6,"
",144 833,"
",93 809,"
",51 024
"
",1 9 5 7,"
",142 920,"
",101 202,"
",41 718
"
",1 9 5 8,"
",217 648,"
",92 407,"
",125 241
"
",1 9 5 9,"
",282 610,"
",84 376,"
",198 234
"
",1 9 6 0,"
",291 451,"
",77 043,"
",214 408
"
",1 9 6 1,"
",164 628,"
",70 347,"
",94 281
"
",1 9 6 2,"
",120 738,"
",64 233,"
",56 505
"
",1 9 6 3,"
",139 542,"
",83 630,"
",55 912
"
",1 9 6 4,"
",177 273,"
",108 884,"
",68 389
"
",1 9 6 5,"
",215 536,"
",141 765,"
",73 771
"
",1 9 6 6,"
",252 896,"
",152 304,"
",100 592
"
",1 9 6 7,"
",287 739,"
",163 627,"
",124 112
"
",1 9 6 8,"
",299 814,"
",175 791,"
",123 489
"
",1 9 6 9,"
",296 814,"
",188 860,"
",107 954
"
",1 9 7 0,"
",345 212,"
",202 903,"
",142 309
