历 年 全 部 工 业 总 产 值
"
", 11-3续表1,"
",单位：万元
"
",年 份,"
",工业总产值,"
", 
"
",轻工业产值,"
",重工业产值
"
",1 9 7 1,"
",365 770,"
",216 172,"
",149 598
"
",1 9 7 2,"
",378 266,"
",230 309,"
",147 957
"
",1 9 7 3,"
",377 943,"
",245 371,"
",132 572
"
",1 9 7 4,"
",237 219,"
",154 054,"
",83 165
"
",1 9 7 5,"
",402 541,"
",261 418,"
",141 123
"
",1 9 7 6,"
",439 793,"
",278 514,"
",161 279
"
",1 9 7 7,"
",490 669,"
",296 728,"
",193 941
"
",1 9 7 8,"
",565 503,"
",336 817,"
",228 686
"
",1 9 7 9,"
",625 227,"
",379 276,"
",245 951
"
",1 9 8 0,"
",677 690,"
",442 078,"
",235 612
"
",1 9 8 1,"
",707 434,"
",479 954,"
",227 480
"
",1 9 8 2,"
",732 705,"
",474 767,"
",257 938
"
",1 9 8 3,"
",816 793,"
",513 759,"
",303 034
"
",1 9 8 4,"
",918 364,"
",569 080,"
",349 284
"
",1 9 8 5,"
",1 113 891,"
",699 524,"
",414 367
"
",1 9 8 6,"
",1 316 230,"
",833 864,"
",482 366
"
",1 9 8 7,"
",1 703 830,"
",1 065 873,"
",637 957
"
",1 9 8 8,"
",2 481 594,"
",1 451 215,"
",1 030 379
"
",1 9 8 9,"
",3 191 643,"
",1 857 019,"
",1 334 624
"
",1 9 9 0,"
",3 571 845,"
",2 057 968,"
",1 513 878
