主 要 年 份 主 要 工 业 产 品 产 量
"
", 11-14 续表2
"
",年  份,"
",合成氨,(万吨),"
",化学肥料,(万吨),"
",化学农药,(吨),"
",油 漆,(吨),"
",染 料,(吨),"
",肥 皂,(吨)
"
",1949,"
",-,"
",-,"
",-,"
",30,"
",599,"
",300
"
",1952,"
",-,"
",-,"
",-,"
",480,"
",2 855,"
",2 000
"
",1957,"
",-,"
",-,"
",1 226,"
",1 247,"
",4 307,"
",4 200
"
",1962,"
",-,"
",0.45,"
",213,"
",910,"
",3 560,"
",3 000
"
",1965,"
",-,"
",1.42,"
",2,"
",4 727,"
",8 667,"
",5 600
"
",1970,"
",0.98,"
",5.89,"
",2 313,"
",6 380,"
",9 347,"
",11 300
"
",1975,"
",3.46,"
",12.46,"
",4 439,"
",7 016,"
",5 967,"
",13 000
"
",1978,"
",7.17,"
",23.66,"
",9 714,"
",8 786,"
",5 877,"
",13 200
"
",1980,"
",7.24,"
",7.82,"
",8 333,"
",14 556,"
",2 159,"
",20 100
"
",1985,"
",6.31,"
",5.16,"
",2 000,"
",26 055,"
",4 448,"
",23 244
"
",1987,"
",8.2,"
",8.32,"
",2 200,"
",28 323,"
",5 316,"
",27 698
"
",1988,"
",8.72,"
",9.41,"
",2 400,"
",28 943,"
",5 527,"
",28 136
"
",1989,"
",8.47,"
",8.84,"
",2 500,"
",27 713,"
",5 784,"
",26 150
"
",1990,"
",7.56,"
",7.55,"
",2 500,"
",29 075,"
",5 119,"
",24 009
"
",1991,"
",8.52,"
",8.04,"
",2 800,"
",33 548,"
",5 263,"
",21 340
"
",1992,"
",10.45,"
",7.85,"
",3 400,"
",35 058,"
",4 821,"
",20 862
"
",1993,"
",10.7,"
",8.02,"
",3 600,"
",33 054,"
",4 550,"
",22 903
"
",1994,"
",13.04,"
",12.39,"
",3 600,"
",29 437,"
",5 097,"
",27 905
"
",1995,"
",14.98,"
",12.62,"
",4 934,"
",37 772,"
",7 185,"
",27 084
"
",1996,"
",18.67,"
",12.62,"
",4 976,"
",26 762,"
",7 668,"
",26 578
"
",1997,"
",16.94,"
",12.52,"
",4 600,"
",19 743,"
",11 189,"
",27 039
"
",1998,"
",22.36,"
",15.3,"
",6 755,"
",17 594,"
",8 274,"
",26 355
"
",1999,"
",26.09,"
",20.19,"
",4 480,"
",3 730,"
",7 866,"
",16 811
"
",2000,"
",24.64,"
",20.04,"
",3 758,"
",693,"
",9 306,"
",15 585
"
",2001,"
",35.53,"
",28.07,"
",3 915,"
",1 349,"
",9 757,"
",15 378
"
",2002,"
",20.3,"
",9.8,"
",4 020,"
",1 701,"
",9 826,"
",13 804
"
",2003,"
",21.55,"
",9.7,"
",2 039,"
",2 106,"
",10 734,"
",15 201
"
",2004,"
",30.3,"
",19.6,"
",5 061,"
",1 955,"
",3 961,"
",14 670
"
",2005,"
",33.8,"
",22.1,"
",6 524,"
",1 687,"
",13 979,"
",-
