按行业分国有及国有控股工业企业主要经济效益指标
"
", 11-11,"
",(2005年),"
",单位：万元
"
",行业 ,"
",总 资 产,贡 献 率,(%),"
",资产负债率,(%),"
",流动资产,周围次数,(次/年),"
",工业成本,费用利润率,(%),"
",全员劳动,生 产 率,"(元/人,年)","
",产品销售率,(%)
"
", 总 计,"
",9.83,"
",60.7,"
",2.07,"
",2.24,"
",175 533,"
",100.76
"
",煤炭开采和洗选业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",石油和天然气开采业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",黑色金属矿采选业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",有色金属矿采选业,"
",24.38,"
",55.02,"
",3.34,"
",36.39,"
",104 524,"
",98.64
"
",非金属矿采选业,"
",30.47,"
",79.3,"
",3.54,"
",9.54,"
",43 839,"
",96.1
"
",其他采矿业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",农副食品加工业,"
",4.08,"
",84.13,"
",0.92,"
",2.04,"
",348 982,"
",96.33
"
",食品制造业,"
",0.81,"
",73.12,"
",1.01,"
",-6.76,"
",36 315,"
",98.19
"
",饮料制造业,"
",13.5,"
",25.1,"
",0.96,"
",13.34,"
",303 848,"
",134.43
"
",烟草制品业,"
",55.03,"
",37.99,"
",1.57,"
",24.35,"
",1 803 282,"
",102.72
"
",纺织业,"
",1.93,"
",67.09,"
",1.13,"
",-0.22,"
",28 944,"
",99.86
"
",纺织服装、鞋、帽制造业,"
",1.47,"
",67.22,"
",1.36,"
",0.06,"
",42 452,"
",100.77
"
",皮革、毛皮、羽毛(绒)及其制品业,"
",0.74,"
",71.3,"
",1.6,"
",-6.75,"
",86 986,"
",101.44
"
",木材加工及木、竹、藤、棕、草制品业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",家具制造业,"
",-5.24,"
",75.78,"
",0.8,"
",-12.41,"
",24 701,"
",100
"
",造纸及纸制品业,"
",1.84,"
",50.68,"
",0.71,"
",1.15,"
",21 872,"
",88.08
"
",印刷业和记录媒介的复制,"
",19.1,"
",46.31,"
",1.79,"
",12.45,"
",180 204,"
",104.04
"
",文教体育用品制造业,"
",-1.55,"
",98.77,"
",2.53,"
",-1.2,"
",18 138,"
",100
"
",石油加工、炼焦及核燃料加工业,"
",6.55,"
",68.67,"
",3.09,"
",-3.46,"
",722 359,"
",100.14
"
",化学原料及化学制品制造业,"
",4.21,"
",59.93,"
",1.21,"
",0.21,"
",134 597,"
",99.03
"
",医药制造业,"
",-4.91,"
",95.1,"
",0.71,"
",-27.11,"
",20 466,"
",91.87
"
",化学纤维制造业,"
",9.15,"
",56.86,"
",2.59,"
",3.49,"
",157 899,"
",96.66
"
",橡胶制品业,"
",3.77,"
",67.9,"
",1.42,"
",1.39,"
",91 549,"
",96.22
"
",塑料制品业,"
",0.37,"
",54.81,"
",2.25,"
",-2.05,"
",279 097,"
",101.32
"
",非金属矿物制品业,"
",6.52,"
",65.58,"
",1.58,"
",3.66,"
",103 749,"
",99.21
"
",黑色金属冶炼及压延加工业,"
",7.01,"
",70.45,"
",3.59,"
",0.93,"
",171 018,"
",99.32
"
",有色金属冶炼及压延加工业,"
",1.44,"
",119.19,"
",1.09,"
",0.04,"
",74 472,"
",100.27
"
",金属制品业,"
",1.25,"
",71.06,"
",1.25,"
",-5.27,"
",136 806,"
",91.62
"
",通用设备制造业,"
",12.34,"
",59.65,"
",1.26,"
",11.78,"
",60 954,"
",98.27
"
",专用设备制造业,"
",10.4,"
",52.17,"
",2.26,"
",3.15,"
",90 216,"
",94.3
"
",交通运输设备制造业,"
",3.04,"
",70.69,"
",1.01,"
",3.2,"
",106 641,"
",100.53
"
",电气机械及器材制造业,"
",9.82,"
",59.4,"
",1.93,"
",6.72,"
",195 311,"
",104.63
"
",通信设备、计算机及其他电子设备制造业,"
",14.36,"
",55.67,"
",4.76,"
",1.67,"
",354 512,"
",101.19
"
",仪器仪表及文化、办公用机械制造业,"
",6.34,"
",68.69,"
",0.87,"
",-0.42,"
",134 851,"
",94.85
"
",工艺品及其他制造业,"
",3.48,"
",77.71,"
",1.6,"
",0.56,"
",22 363,"
",96.71
"
",废弃资源和废旧材料回收加工业,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",电力、热力的生产和供应业,"
",7.35,"
",72.09,"
",2.07,"
",0.37,"
",322 949,"
",99.36
"
",燃气生产和供应业,"
",3.21,"
",40.55,"
",1.23,"
",2.11,"
",113 552,"
",107.88
"
",水的生产和供应业,"
",1.48,"
",58.84,"
",0.78,"
",-0.69,"
",69 519,"
",98.51
"
",国有控股,"
",9.83,"
",60.7,"
",2.07,"
",2.24,"
",175 533,"
",100.76
"
",三资,"
",6.68,"
",62.84,"
",1.78,"
",2.1,"
",121 396,"
",99.33
"
",大中型,"
",10.24,"
",59.83,"
",2.12,"
",2.35,"
",187 533,"
",100.95
