"
",批 发 业 营 业 收 入、实 现 利 润 前 30 位 企 业
"
",14-7,"
",(2005年),"
"
"
",营 业 收 入 前 30 位 企 业,"
",所在地区,"
",实 现 利 润 前 30 位 企 业,"
",所在地区
"
", 海尔集团电器产业有限公司,"
","
",崂山区,"
", 青岛市烟草专卖局青岛烟草有限公司,"
",市北区
"
", 山东省机械进出口集团公司,"
",市南区,"
", 山东莱钢国际贸易有限公司,"
",市南区
"
", 青岛海尔国际贸易有限公司,"
","
",崂山区,"
", 青岛欧美进出口有限公司,"
",市南区
"
", 青岛钢铁进出口公司,"
",市南区,"
", 山东省机械进出口集团公司,"
",市南区
"
", 青岛市烟草专卖局青岛烟草有限公司,"
",市北区,"
", 青岛欧美投资集团有限公司,"
",市南区
"
", 青岛益佳国际贸易集团有限公司,"
",市南区,"
", 中国烟草山东进出口公司,"
",市南区
"
", 青岛海信进出口有限责任公司,"
",市南区,"
", 青岛保税区济钢国际物流有限公司,"
",黄岛区
"
", 中国船舶燃料供应青岛公司,"
",市北区,"
", 青岛保税区首益物流有限公司,"
",黄岛区
"
", 中国中煤能源集团公司青岛分公司,"
",黄岛区,"
", 青岛钢铁进出口公司,"
",市南区
"
", 山东绮丽集团公司,"
",市南区,"
", 青岛保税区龙舒洋国际贸易有限公司,"
",黄岛区
"
", 青岛欧美进出口有限公司,"
",市南区,"
", 青岛鲍德经贸有限公司,"
",平度市
"
", 青岛海尔工贸有限公司,"
","
",崂山区,"
", 中国船舶燃料供应青岛公司,"
",市北区
"
", 青岛浩华通信产品有限公司,"
",城阳区,"
", 青岛海尔国际贸易有限公司,"
","
",崂山区
"
", 青岛润升石油有限公司,"
",黄岛区,"
", 中国中煤能源集团公司青岛分公司,"
",黄岛区
"
", 青岛海润投资集团有限公司,"
",市南区,"
", 青岛海润投资集团有限公司,"
",市南区
"
", 山东省东方国际贸易有有限公司,"
",市南区,"
", 伊藤忠(青岛)有限公司,"
",市南区
"
", 山东莱钢国际贸易有限公司,"
",市南区,"
", 青岛胜利石化产品销售有限公司,"
",市北区
"
", 青岛欧美投资集团有限公司,"
",市南区,"
", 山东机械设备进出口集团公司,"
",市南区
"
", 青岛中油油品销售有限公司,"
",市南区,"
", 青岛波导电子有限公司,"
",市北区
"
", 五矿钢铁青岛有限公司,"
",市南区,"
", 青岛胜世嘉工贸有限公司,"
",四方区
"
", 山东六和集团有限公司,"
",崂山区,"
", 青岛国运集团有限公司,"
",李沧区
"
", 山东三利源经贸有限公司,"
",平度市,"
", 青岛世纪新科啤酒开发有限公司,"
",市南区
"
", 青岛圣元乳业有限公司,"
",黄岛区,"
", 青岛世纪瑞丰国际贸易有限公司,"
",市南区
"
", 新华锦集团山东锦宜纺织有限公司,"
",市南区,"
", 新华锦集团山东锦岳国际经贸有限责任公司,"
",市南区
"
", 新华锦集团山东盈商针棉织品进出口有限公司,"
",市南区,"
", 青岛青汽汽车销售有限公司,"
",市南区
"
", 青岛华青进出口有限公司,"
",市南区,"
", 山东省东方国际贸易有有限公司,"
",市南区
"
", 山东美赫尔国际贸易有限公司,"
",市南区,"
", 青岛即发进出口有限公司,"
",即墨市
"
", 青岛保税区龙舒洋国际贸易有限公司,"
",黄岛区,"
", 青岛中油油品销售有限公司,"
",市南区
"
", 山东省五金矿产进出口公司,"
",市南区,"
", 青岛鑫雷音电子有限公司,"
",市北区
"
", 新华锦集团山东海川发制品进出口有限公司,"
","
",市南区,"
", 青岛贵生商贸有限公司,"
",崂山区
