"
",限 额 以 上 批 发 业 财 务 状 况
"
",14-5,"
",(2005年),"
"
"
",指 标,"
",合 计,"
",国有经济,"
",集体经济,"
",外商及港澳台经济,"
",其它
"
",单 位 数,"
",297,"
",46,"
",12,"
",6,"
",233
"
",一、年末资产负债,"
",,"
","
","
","
"
"
", 资产合计,"
",3 189 448,"
",1 091 960,"
",506 147,"
",62 983,"
",1 528 358
"
", 流动资产小计,"
",2 690 133,"
",857 562,"
",462 388,"
",58 150,"
",1 312 034
"
", 负债合计,"
",2 860 379,"
",1 031 521,"
",485 098,"
",57 651,"
",1 286 109
"
", 所有者权益合计,"
",329 069,"
",60 439,"
",21 050,"
",5 332,"
",242 248
"
",二、损益及分配,"
",,"
","
","
","
"
"
", 主营业务收入,"
",7 593 634,"
",2 324 162,"
",1 278 850,"
",182 537,"
",3 808 085
"
", 主营业务成本,"
",7 173 375,"
",2 175 412,"
",1 254 207,"
",162 914,"
",3 580 841
"
", 主营业务税金及附加,"
",6 225,"
",2 567,"
",967,"
",25,"
",2 666
"
", 主营业务利润,"
",342 813,"
",142 873,"
",22 504,"
",19 598,"
",157 838
"
", 其他业务利润,"
",16 912,"
",6 348,"
",2 123,"
",281,"
",8 160
"
", 营业费用,"
",201 467,"
",48 879,"
",7 735,"
",17 142,"
",127 711
"
", 管理费用,"
",124 003,"
",53 424,"
",13 799,"
",4 652,"
",52 128
"
", 财务费用,"
",31 048,"
",10 974,"
",1 889,"
",876,"
",17 310
"
", 利润总额,"
",71 234,"
",55 048,"
",2 606,"
",-2 723,"
",16 302
"
",三、经济效益,"
",,"
",,"
","
","
"
"
", 商品经营费用率%,"
",2.65,"
",2.10,"
",0.60,"
",9.39,"
",3.35
"
", 商品销售利润率%,"
",0.84,"
",2.17,"
",0.15,"
",-1.51,"
",0.38
