"
",限 额 以 上 批 发 和 零 售 业 商 品 购 销 存 总 额
"
",14-3,"
",(2005年),"
",单位：万元
"
",项 目,"
",商品销售,总额,"
",,"
",库 存,总额
"
",批 发,"
",零 售
"
", 总 计,"
",12 406 689,"
",9 949 652,"
",2 457 038,"
",689 940
"
", 国有企业,"
",2 992 902,"
",2 907 758,"
",85 144,"
",173 237
"
", 集体企业,"
",1 490 130,"
",1 445 343,"
",44 787,"
",32 878
"
", 其它企业,"
",7 923 658,"
",5 596 551,"
",2 327 107,"
",483 824
"
", 农畜产品批发业,"
",333 724,"
",333 724,"
",0,"
",30 462
"
", 食品饮料及烟草制品批发业,"
",977 497,"
",974 744,"
",2 753,"
",39 445
"
", 纺织服装及日用品批发业,"
",1 149 931,"
",1 149 931,"
",0,"
",47 864
"
", 文化体育用品及器材批发业,"
",33 542,"
",29 122,"
",4 420,"
",4 953
"
", 医药及医疗器械批发业,"
",178 951,"
",177 770,"
",1 181,"
",10 541
"
", 矿产品建材及化工产品批发业,"
",3 435 935,"
",3 268 205,"
",167 730,"
",104 079
"
", 机械设备五金交电及电子产品批发业,"
",3 034 929,"
",2 974 274,"
",60 655,"
",125 297
"
", 贸易经济与代理,"
",0,"
",0,"
",0,"
",0
"
", 其它批发业,"
",576 509,"
",576 509,"
",0,"
",37 057
"
", 综合零售业,"
",1 509 453,"
",374 712,"
",1 134 741,"
",167 069
"
", 食品饮料及烟草制品专门零售业,"
",20 798,"
",5 371,"
",15 427,"
",2 855
"
", 纺织服装及日用品专门零售业,"
",36 995,"
",3 969,"
",33 025,"
",7 066
"
", 文化体育用品及器材专门零售业,"
",59 490,"
",19 619,"
",39 871,"
",15 672
"
", 医药及医疗器械专门零售业,"
",43 110,"
",3 426,"
",39 684,"
",6 825
"
", 汽车摩托车燃料及零配件专门零售业,"
",729 682,"
",43 206,"
",686 477,"
",59 297
"
",,"
",,"
",
"
", 家用电器及电子产品专门零售业,"
",230 583,"
",13 887,"
",216 696,"
",21 108
"
", 五金家具及室内装潢材料专门零售业,"
",45 869,"
",210,"
",45 659,"
",9 762
"
", 无店铺及其他零售业,"
",9692,"
",973,"
",8720,"
",588
