"
",批 发 业 从 业 人 员
"
",14-13,"
",(2005年底),"
",单位：人
"
",区市名称,"
",批发业,"
",,"
",农畜产品,"
",食品饮料烟草制品,"
",纺织服装及日用品
"
",#个体
"
",全市总计,"
",194 345,"
",87 000,"
",20 367,"
",30 311,"
",42 947
"
",市 区,"
",103 541,"
",18 816,"
",3 000,"
",13 909,"
",21 506
"
",市 南 区,"
",26 187,"
",520,"
",1 405,"
",2 463,"
",8 619
"
",市 北 区,"
",37 835,"
",11 467,"
",260,"
",7 173,"
",9 558
"
",四 方 区,"
",15 576,"
",1 734,"
",62,"
",1 957,"
",1 533
"
",黄 岛 区,"
",5316,"
",439,"
",35,"
",797,"
",529
"
",崂 山 区,"
",5 034,"
",193,"
",143,"
",170,"
",278
"
",李 沧 区,"
",6 762,"
",1 460,"
",478,"
",587,"
",293
"
",城 阳 区,"
",6 831,"
",3 003,"
",617,"
",762,"
",696
"
",胶 州 市,"
",18 900,"
",13 178,"
",1 498,"
",8 088,"
",3 316
"
",即 墨 市,"
",24 947,"
",20 358,"
",2 698,"
",1 852,"
",14 854
"
",平 度 市,"
",15 283,"
",11 081,"
",6 113,"
",1 457,"
",897
"
",胶 南 市,"
",12 493,"
",8 148,"
",1 282,"
",1 678,"
", 595
"
",莱 西 市,"
",19 181,"
",15 419,"
",5 776,"
",3 327,"
",1 779
