"
",批 发 业 网 点
"
",14-12,"
",(2005年底),"
",单位：个
"
",区市名称,"
",批发业,"
",,"
",农畜产品,"
",食品饮料烟草制品,"
",纺织服装及日用品
"
",#个体
"
",全市总计,"
",47 547,"
",36 892,"
",8 517,"
",7 047,"
",13 013
"
",市 区,"
",13 736,"
",5 239,"
",491,"
",1 815,"
",2 956
"
",市 南 区,"
",2 666,"
",322,"
",58,"
",335,"
",705
"
",市 北 区,"
",4 765,"
",2 328,"
",18,"
",822,"
",1 748
"
",四 方 区,"
",2 383,"
",608,"
",10,"
",209,"
",113
"
",黄 岛 区,"
",905,"
",238,"
",8,"
",79,"
",104
"
",崂 山 区,"
",417,"
",99,"
",14,"
",36,"
",61
"
",李 沧 区,"
",1 303,"
",739,"
",313,"
",159,"
",44
"
",城 阳 区,"
",1 297,"
",905,"
",70,"
",175,"
",181
"
",胶 州 市,"
",4 545,"
",4 016,"
",273,"
",1 719,"
",1 632
"
",即 墨 市,"
",10 668,"
",10 174,"
",1 285,"
",820,"
",6 738
"
",平 度 市,"
",6 207,"
",5 661,"
",3 408,"
",486,"
",426
"
",胶 南 市,"
",5 928,"
",5 619,"
",693,"
",922,"
",358
"
",莱 西市,"
",6 463,"
",6 183,"
",2 367,"
",1 285,"
",903
