主要指标占全国全省比重
"
", 1-9  , (2005年)  
"
",指 标,"
",单 位,"
",全 国,"
",全 省,"
",青岛市,"
",青岛市占,全国比重,(%),"
",青岛市占,全省比重,(%)
"
", 一、全市生产总值,"
",亿元,"
",182 321,"
",18 468.3,"
",2 695.82,"
",1.48,"
",14.60
"
", 第一产业,"
",亿元,"
",22 718,"
",1 927.6,"
",178.33,"
",0.78,"
",9.25
"
", 第二产业,"
",亿元,"
",86 208,"
",10 620.3,"
",1 396.25,"
",1.62,"
",13.15
"
", 第三产业,"
",亿元,"
",73 395,"
",5 920.4,"
",1 121.24,"
",1.53,"
",18.94
"
", 二、年末总人口,"
",万人,"
",130 756,"
",9 248,"
",740.9,"
",0.57,"
",8.01
"
", 二、主要工业产品产量,"
",,"
","
","
","
","
"
"
", 纱,"
",万吨,"
",1440,"
",367.8,"
",7.2,"
",0.50,"
",1.96
"
", 布,"
",亿米,"
",470,"
",88.7,"
",5.13,"
",1.09,"
",5.78
"
", 家用电冰箱,"
",万台,"
",2 986,"
",694.3,"
",694.3,"
",23.25,"
",100.00
"
", 彩色电视机,"
",万部,"
",8 283,"
",1 092.7,"
",984.5,"
",11.89 ,"
",90.10
"
", 发电量,"
",亿千瓦时,"
",24 747,"
",2 001.6,"
",98.6,"
",0.40,"
",4.93
"
", 钢材,"
",万吨,"
",39 692,"
",3 008.5,"
",309.7,"
",0.78,"
",10.29
"
", 纯碱,"
",万吨,"
",1 467,"
",260.16,"
",62.5,"
",4.26,"
",24.02
"
", 化肥,"
",万吨,"
",5 220,"
",665.13,"
",22.1,"
",0.42,"
",3.32
"
", 水泥,"
",万吨,"
",106 000,"
",13 986.8,"
",210.8,"
",0.20,"
",1.51
"
", 三、主要农产品产量,"
",,"
","
","
","
","
"
"
", 粮食,"
",万吨,"
",48 401,"
",3 917.4,"
",315.02,"
",0.65,"
",8.04
"
", 油料,"
",万吨,"
",3 078,"
",363.9,"
",50.39,"
",1.64,"
",13.85
"
", 棉花,"
",万吨,"
",570,"
",84.6,"
",0.4,"
",0.07,"
",0.47
"
", 肉类产量,"
",万吨,"
",7 700,"
",736.9,"
",81.94,"
",1.06,"
",11.12
"
", 水产品,"
",万吨,"
",5 100,"
",736.1,"
",127.27,"
",2.50,"
",17.29
"
", 四、全社会固定资产投资额,"
",亿元,"
",88 604,"
",10 541.5,"
",1 456.6,"
",1.64,"
",13.82
"
", 五、社会消费品零售总额,"
",亿元,"
",67 177,"
",6 126.4,"
",865.9,"
",1.29,"
",14.13
"
", 六、高等学校在校学生,"
",万人,"
",1 562,"
",117.1,"
",23.98,"
",1.54,"
",20.48
