"
",进出口总额
"
",15-2,"
",(1988-2005年),"
",单位：万美元
"
",年份,"
",进出口总额,(含中央、,省公司),"
", ,"
",进出口总额,(不含中央、,省公司),"
", 
"
",出口,"
",进 口,"
",出口,"
",进口
"
",1988,"
",-,"
",-,"
",-,"
",28 097,"
",21 731,"
",6 366
"
",1989,"
",-,"
",-,"
",-,"
",39 327,"
",27 797,"
",11 530
"
",1990,"
",-,"
",-,"
",-,"
",41 649,"
",33 529,"
",8 120
"
",1991,"
",-,"
",-,"
",-,"
",54 624,"
",44 746,"
",9 878
"
",1992,"
",-,"
",-,"
",-,"
",88 600,"
",66 291,"
",22 309
"
",1993,"
",517 643,"
",346 288,"
",171 355,"
",139 048,"
",100 201,"
",38 847
"
",1994,"
",633 213,"
",434 102,"
",199 111,"
",234 978,"
",164 135,"
",70 843
"
",1995,"
",858 560,"
",536 386,"
",322 174,"
",376 372,"
",245 072,"
",131 300
"
",1996,"
",863 521,"
",516 317,"
",347 204,"
",461 950,"
",287 123,"
",174 827
"
",1997,"
",916 269,"
",579 261,"
",377 008,"
",521 967,"
",338 535,"
",183 432
"
",1998,"
",882 042,"
",573 020,"
",309 022,"
",595 826,"
",382 657,"
",213 169
"
",1999,"
",1 009 885,"
",631 072,"
",378 813,"
",775 565,"
",446 260,"
",329 305
"
",2000,"
",1 353 222,"
",826 891,"
",526 331,"
",1 083 133,"
",611 426,"
",471 707
"
",2001,"
",1 541 564,"
",950 160,"
",591 404,"
",1 235 781,"
",712 024,"
",523 757
"
",2002,"
",1 692 567,"
",1 057 141,"
",635 426,"
",1 409 598,"
",850 420,"
",559 178
"
",2003,"
",2 065 912,"
",1 239 199,"
",826 713,"
",1 784 556,"
",1 035 528,"
",749 028
"
",2004,"
",2 698 781,"
",1 578 167,"
",1 120 614,"
",2 433 188,"
",1 391 171,"
",1 042 017
"
",2005,"
",3 302 230,"
",1 942 242,"
",1 359 988,"
",3 045 542,"
",1 758 834,"
",1 286 708
