"
",利 用 外 资 情 况
"
",15-7,"
",(1990-2005年)
,"
",单 位,"
",1990年,"
",1995年,"
",2000年,"
",2004年,"
",2005年
"
",批准企业(项目)个数,"
",个,"
",16,"
",1 148,"
",1 132,"
",2 423,"
",2 530
"
", 一、外商直接投资,"
",个,"
",64,"
",718,"
",1 128,"
",2 423,"
",2 530
"
", #中外合资企业,"
",个,"
",40,"
",260,"
",303,"
",318,"
",274
"
", 中外合作企业,"
",个,"
","
",45,"
",5,"
",19,"
",18
"
", 外商独资企业,"
",个,"
",1,"
",412,"
",76,"
",2 086,"
",2 236
"
", 其它,"
",个,"
",-,"
",1,"
",1,"
",-,"
",2
"
", 二、外商其他投资,"
",个,"
",103,"
",430,"
",4,"
",-,"
"
"
",合同外资金额,"
",万美元,"
",8 137,"
",165 402,"
",269 081,"
",676 621,"
",954 486
"
", 一、外商直接投资,"
",万美元,"
",6 900,"
",146 734,"
",266 221,"
",671 723,"
",954 486
"
", #中外合资企业,"
",万美元,"
",3 265,"
",52 118,"
",69 889,"
",47 772,"
",112 777
"
", 中外合作企业,"
",万美元,"
",346,"
",14 774,"
",26 835,"
",7 382,"
",17 588
"
", 外商独资企业,"
",万美元,"
",3 289,"
",79 842,"
",169 370,"
",616 473,"
",813 485
"
", 其它,"
",万美元,"
",-,"
",-,"
",12,"
",96,"
",10 636
"
", 二、外商其他投资,"
",万美元,"
",1 237,"
",18 668,"
",2 860,"
",4 898,"
"
"
",实际利用外资金额,"
",万美元,"
",7 770,"
",86 573,"
",128 171,"
",381 698,"
",365 625
"
", 一、外商直接投资,"
",万美元,"
",4 839,"
",70 310,"
",126 132,"
",379 917,"
",365 625
"
", #中外合资企业,"
",万美元,"
",4 161,"
",22 640,"
",39 224,"
",54 798,"
",77 636
"
", 中外合作企业,"
",万美元,"
",19,"
",2 671,"
",3 886,"
",7 319,"
",5 654
"
", 外商独资企业,"
",万美元,"
",659,"
",44 999,"
",82 992,"
",317 088,"
",280 130
"
", 其它,"
",万美元,"
",-,"
",-,"
",30,"
",712,"
",2 205
"
", 二、外商其他投资,"
",万美元,"
",2 931,"
",16 263,"
",2 039,"
",1 781,"
",-
