"
",技 工 学 校 分 校 基 本 情 况
"
",16-7,"
",(2005年),"
",单位：人
"
",学  校 名 称,"
",毕业生数,"
",招 生 数,"
",在校学生数,"
",教职工数,"
",
"
",#专任教师
"
", 总 计,"
",5925,"
",15667,"
",38160,"
",1303,"
",966
"
", 青岛市高级技工学校,"
",741,"
",4018,"
",9869,"
",130,"
",99
"
", 四方机车车辆技术学校,"
",400,"
",1278,"
",2993,"
",117,"
",84
"
", 青岛市电子信息技术学校,"
",479,"
",1061,"
",2720,"
",65,"
",50
"
", 青岛机电技术学校,"
",391,"
",641,"
",1831,"
",77,"
",77
"
", 青岛海洋技术学校,"
",449,"
",1763,"
",3714,"
",80,"
",52
"
", 青岛市化工技术学校,"
",202,"
",492,"
",1583,"
",47,"
",47
"
", 青岛市经济贸易技术学校,"
",489,"
",298,"
",1189,"
",70,"
",46
"
", 青岛北海船舶技术学校,"
","
",40,"
",-,"
",35,"
",15,"
",11
"
", 青岛市房产技术学校,"
",313,"
",314,"
",1507,"
",40,"
",40
"
", 青岛市建设技术学校,"
",59,"
",85,"
",239,"
",20,"
",20
"
", 青岛市捷能技术学校,"
",173,"
",414,"
",902,"
",34,"
",23
"
", 青岛市冶金技术学校,"
",231,"
",378,"
",791,"
",31,"
",19
"
", 青岛市园林环卫技术学校,"
",115,"
",78,"
",252,"
",33,"
",33
"
", 青岛橡胶技术学校,"
",107,"
",70,"
",136,"
",19,"
",9
"
", 青岛市铸造机械集团公司技术学校,"
",4,"
",166,"
",305,"
",19,"
",19
"
", 山东省饮食服务技工学校,"
",2,"
",-,"
",53,"
",62,"
",24
"
", 中国人民解放军海军第六职业技术学校,"
",163,"
",252,"
",448,"
",48,"
",23
"
", 中国石油天然气第七建设公司技工学校,"
",345,"
",500,"
",1112,"
",47,"
",34
"
", 平度市技术学校,"
",342,"
",1994,"
",3894,"
",80,"
",69
"
", 青岛市第二技术学校,"
",557,"
",621,"
",2203,"
",89,"
",62
"
", 青岛市第三技术学校,"
",323,"
",919,"
",1754,"
",129,"
",93
"
", 青岛市工业技术学校,"
",-,"
",325,"
",630,"
",51,"
",32
