主 要 年 份 卫 生 事 业 基 本 情 况
"
", 17-2,"
"
"
",年  份,"
",卫  生,机 构 数,(个),"
",,"
",医  疗,床 位 数,(张),"
",,"
",卫  生,技术人员,(人),"
",,"
",每千人口,拥有医生数,(人),"
",每千人口,拥有床位数,(张)
"
",#医 院,"
",#医 院,"
",#医 生
"
",1949,"
",80,"
",26,"
",1 079,"
",970,"
",2 637,"
",1 292,"
",0.32,"
",0.27
"
",1952,"
",260,"
",34,"
",2 943,"
",1 691,"
",3 748,"
",1 559,"
",0.37,"
",0.7
"
",1957,"
",624,"
",45,"
",5 163,"
",2 656,"
",6 941,"
",2 578,"
",0.53,"
",1.07
"
",1962,"
",849,"
",149,"
",7 167,"
",4 526,"
",8 279,"
",2 972,"
",0.64,"
",1.55
"
",1965,"
",912,"
",162,"
",8 428,"
",5 003,"
",9 051,"
",3 586,"
",0.73,"
",1.72
"
",1970,"
",712,"
",170,"
",8 613,"
",6 603,"
",9 591,"
",3 761,"
",0.7,"
",1.6
"
",1975,"
",959,"
",181,"
",10 902,"
",9 078,"
",13 558,"
",4 566,"
",0.8,"
",1.9
"
",1978,"
",1 192,"
",212,"
",13 084,"
",10 709,"
",16 921,"
",5 893,"
",1.01,"
",2.24
"
",1980,"
",1 253,"
",212,"
",14 170,"
",11 345,"
",19 265,"
",6 781,"
",1.14,"
",2.38
"
",1985,"
",1 517,"
",219,"
",18 469,"
",13 214,"
",23 413,"
",9 694,"
",1.55,"
",2.95
"
",1987,"
",1 553,"
",228,"
",21 667,"
",15 463,"
",26 669,"
",11 738,"
",1.81,"
",3.34
"
",1989,"
",1 566,"
",232,"
",22 668,"
",15 670,"
",27 195,"
",13 555,"
",2.06,"
",3.46
"
",1990,"
",1 563,"
",235,"
",23 541,"
",16 586,"
",27 932,"
",13 761,"
",2.08,"
",3.56
"
",1991,"
",1 579,"
",235,"
",23 727,"
",16 796,"
",27 772,"
",13 227,"
",1.98,"
",3.54
"
",1992,"
",1 562,"
",236,"
",24 765,"
",17 269,"
",28 305,"
",13 157,"
",1.95,"
",3.67
"
",1993,"
",1 540,"
",237,"
",24 885,"
",17 469,"
",28 705,"
",13 312,"
",1.97,"
",3.68
"
",1994,"
",1 335,"
",242,"
",24 732,"
",17 882,"
",28 938,"
",13 535,"
",1.99,"
",3.64
"
",1995,"
",1 347,"
",228,"
",25 282,"
",18 126,"
",29 816,"
",13 840,"
",2.02,"
",3.69
"
",1996,"
",2 216,"
",228,"
",24 334,"
",18 344,"
",30 048,"
",13 790,"
",2,"
",3.53
"
",1997,"
",2 193,"
",239,"
",25 201,"
",19 046,"
",31 121,"
",14 400,"
",2.07,"
",3.62
"
",1998,"
",2 190,"
",237,"
",24 887,"
",19 083,"
",31 623,"
",14 327,"
",2.05,"
",3.56
"
",1999,"
",2 185,"
",235,"
",25 481,"
",19 798,"
",31 965,"
",14 453,"
",2.06,"
",3.62
"
",2000,"
",2 911,"
",231,"
",24 392,"
",20 057,"
",32 160,"
",14 860,"
",2.1,"
",3.45
"
",2001,"
",3 199,"
",217,"
",24 755,"
",20 313,"
",32 765,"
",15 772,"
",2.22,"
",3.48
"
",2002,"
",3 050,"
",213,"
",21 370,"
",20 662,"
",31 469,"
",13 371,"
",1.87,"
",2.99
"
",2003,"
",3 111,"
",213,"
",23 980,"
",21 605,"
",32 337,"
",13 452,"
",1.87,"
",3.33
"
",2004,"
",2 923,"
",219,"
",25 432,"
",23 465,"
",32 937,"
",13 953,"
",1.91,"
",3.48
"
",2005,"
",2 609,"
",235,"
",30 627,"
",28 564,"
",33 942,"
",15 008,"
",2.03,"
",4.13
