分 市、区 各 类 卫 生 机 构、床 位、人 员 数
"
", 17-4 续表1,"
",(2005年底)
"
",市、区名称,
"
",采供血机构,"
",妇幼保健院,(所、站),"
",专科疾病防,治院(所、站),"
",疾病预防控制,中心(防疫站),"
",卫生监督所,"
",卫生监督,检验所(站),"
",医学科学,研究机构
"
",总计,"
",7,"
",10,"
",6,"
",20,"
",13,"
",-,"
",-
"
",市区,"
",2,"
",7,"
",1,"
",12,"
",8,"
",-,"
",-
"
",#城阳 区,"
",-,"
",1,"
",-,"
",3,"
",1,"
",-,"
",-
"
",黄 岛 区,"
",1,"
",1,"
",-,"
",1,"
",1,"
",-,"
",-
"
",崂 山 区,"
",-,"
",1,"
",-,"
",1,"
",1,"
",-,"
",-
"
",胶州市,"
",1,"
",1,"
",-,"
",4,"
",1,"
",-,"
",-
"
",即墨市,"
",1,"
",1,"
",1,"
",1,"
",1,"
",-,"
",-
"
",平度市,"
",1,"
",-,"
",2,"
",1,"
",1,"
",-,"
",-
"
",胶南市,"
",1,"
",-,"
",2,"
",1,"
",1,"
",-,"
",-
"
",莱西市,"
",1,"
",1,"
",-,"
",1,"
",1,"
",-,"
",-
