"
",图 书、杂 志、报 纸 出 版 情 况
"
",16-23,"
",(1990-2005年)
"
",项  目,"
",单 位,"
",1990年,"
",1995年,"
",2000年,"
",2004年,"
",2005年
"
", 图书出版,"
",,"
",,"
",,"
",,"
",,"
",
"
", 种数,"
",种,"
",292,"
",530,"
",572,"
",771,"
",896
"
", 总印数,"
",万册,"
",1 626,"
",2 109,"
",1 542,"
",3 156,"
",2873
"
", 总印张数,"
",千印张,"
",40 358,"
",75 242,"
",71 826,"
",171 232,"
",191 671
"
", 杂志出版,"
","
","
","
","
","
"
"
", 种数,"
",种,"
",32,"
",34,"
",35,"
",43,"
",44
"
", 每期平均印数,"
",万册(份),"
",41.71,"
",37.42,"
",75.41,"
",79.66,"
",76.95
"
", 总印数,"
",万册,"
",452,"
",409,"
",1 249,"
",1 750,"
",1755
"
", 总印张数,"
",千印张,"
",6 422,"
",5 630,"
",31 946,"
",65 632,"
",69 635
"
", 报纸出版,"
","
","
","
","
","
"
"
", 种数,"
",种,"
",4,"
",8,"
",14,"
",12,"
",12
"
", 每期平均印数,"
",万份,"
",64.25,"
",81.51,"
",84.74,"
",208.2,"
",174.16
"
", 总印数,"
",万份,"
",7 127,"
",16 318,"
",21 309,"
",64 593,"
",53 947
"
", 总印张数,"
",千印张,"
",56 670,"
",231 642,"
",555 503,"
",4 843 795,"
",4 188 151
