"
",广 播 电 视 业 基 本 情 况
"
",16-24,"
",(1990-2005年)
"
",项  目,"
",单 位,"
",1990年,"
",1995年,"
",2000年,"
",2004年,"
",2005年
"
",一、广播基本情况,"
","
","
","
","
","
"
"
", 电台个数,"
",座,"
",6,"
",8,"
",1,"
",1,"
",1
"
", 发射台个数,"
",座,"
",7,"
",9,"
",9,"
",11,"
",11
"
", 节目套数,"
",套,"
",7,"
",10,"
",10,"
",11,"
",12
"
", 平均日播音时间,"
",时∶分,"
",53∶35,"
",126∶35,"
",119∶15,"
",146∶21,"
",174:01
"
", #自办节目,"
",时∶分,"
",41∶15,"
",117∶05,"
",107∶50,"
",80∶30,"
",111:12
"
", 本年制作广播节目时间,"
",小时,"
",-,"
",-,"
",-,"
",-,"
",-
"
", #自制广播节目,"
",小时,"
",-,"
",-,"
",-,"
",23 842,"
",36 964
"
", 加工广播节目,"
",小时,"
",-,"
",-,"
",-,"
",-,"
",-
"
", 节目被中央台采用时间,"
",时∶分,"
",-,"
",-,"
",-,"
",21∶49,"
",18:26
"
", 广播人口覆盖率,"
",%,"
",94,"
",94,"
",96.02,"
",97.87,"
",97.9
"
",二、电视基本情况,"
",,"
","
","
","
","
"
"
", 电视台个数,"
",座,"
",4,"
",8,"
",1,"
",1,"
",1
"
", 发射台个数,"
",座,"
",42,"
",48,"
",29,"
",11,"
",11
"
", 节目套数,"
",套,"
",4,"
",9,"
",9,"
",15,"
",15
"
", 平均每周播出时间,"
",时∶分,"
",129∶10,"
",382∶18,"
",489∶20,"
",1 443∶48,"
",1 522:38
"
", #自办节目,"
",时∶分,"
",38∶25,"
",327∶35,"
",410∶54,"
",552∶35,"
",597:55
"
", 本年制作电视节目时间,"
",小时,"
",-,"
",-,"
",-,"
",-,"
",-
"
", #自制电视节目,"
",小时,"
",-,"
",-,"
",-,"
",9 917,"
",11 977
"
", 加工电视节目,"
",小时,"
",-,"
",-,"
",-,"
",-,"
",-
"
", 节目被中央台采用时间,"
",时∶分,"
",-,"
",-,"
",-,"
",17∶16,"
",33:06
"
", 电视人口覆盖率,"
",%,"
",90.87,"
",92,"
",95.04,"
",97.46,"
",97.7
"
",三、有线电视基本情况,"
",,"
","
","
","
","
"
"
", 总用户数,"
",万户,"
",-,"
",-,"
",-,"
",155.6,"
",176.6
"
", 有线电视入户率,"
",%,"
",-,"
",-,"
",-,"
",66.99,"
",75.05
"
", 网络总长,"
",公里,"
",-,"
",-,"
",-,"
",43 376,"
",44 827
"
", 广播电视卫星收转系统,"
",座,"
",-,"
",-,"
",-,"
",947,"
",1 062
