全 市 生 产 总 值 构 成
"
",1-15  ,"
",(2005年),"
"
"
",措  标,"
",增加值(亿元),"
",2005年为2004年%
"
",全市生产总值,"
",2695.82,"
",116.9
"
", 第一产业,"
",178.33,"
",100.4
"
",  (1)农林牧渔业,"
",178.33,"
",100.4
"
", 第二产业,"
",1396.25,"
",120
"
",  (2)工业,"
",1263.29,"
",121.0
"
",  (3)建 筑 业,"
",132.96,"
",109.2
"
", 第三产业,"
",1121.24,"
",116
"
", (4)交通运输、仓储及邮政业,"
",287.35,"
",118.1
"
", (5)信息传输、计算机服务和软件业,"
",47.43,"
",119.5
"
", (6)批发和零售业,"
",211.8,"
",106.2
"
", (7)住宿和餐饮业,"
",67.35,"
",115.7
"
", (8)金融业,"
",64.61,"
",123.4
"
", (9)房地产业,"
",92.89,"
",115.6
"
", (10)租赁和商务服务业,"
",45.75,"
",115.1
"
", (11)科学研究、技术服务和地质勘查业,"
",33.37,"
",128.3
"
", (12)水利、环境和公共设施管理业,"
",7.54,"
",101.1
"
", (13)居民服务和其他服务业,"
",49.74,"
",107.9
"
", (14)教育,"
",65.5,"
",118.9
"
", (15)卫生、社会保障和社会福利业,"
",37.28,"
",122.2
"
", (16)文化、体育和娱乐业,"
",15.24,"
",119.7
"
", (17)公共管理和社会组织,"
",95.39,"
",126
