规模以上投资项目新增主要生产能力(或工程效益)
"
", 4-6,"
",(2005年)
"
",分组指标,"
",本年新增能力
"
", 洗煤(万吨／年),"
",120
"
", 焦炭(万吨／年),"
",60
"
", 铁矿开采(原矿)(万吨／年),"
",60.2
"
", 炼钢(万吨／年),"
",73.39
"
", 火力发电(万千瓦),"
",13
"
", 水泥(万吨／年),"
",102.4
"
", 平板玻璃(万重量箱／年),"
",107
"
", 石墨及炭素制品(吨／年),"
",71470
"
", 烧碱(吨／年),"
",2000
"
", 塑料树脂及共聚物(吨／年),"
",5500
"
", 轮胎外胎(万条／年),"
",1095
"
", 化学原料药(吨／年),"
",530
"
", 中成药(吨／年),"
",200
"
", 内燃机(台／年),"
",21
"
", 金属切削机床制造(台／年),"
",1610
"
", 载货汽车制造(辆／年),"
",100
"
", 化学纤维(吨／年),"
",220
"
", 食用植物油(日处理原料：吨),"
",330
"
", 卷烟(箱／年),"
",112800
"
", 房间空气调节器(万台／年),"
",40
"
", 新建公路(公里),"
",598
"
", 改建公路(公里),"
",251
"
", 一级公路(公里),"
",25
"
", 新(扩)建港口码头(年吞吐量:万吨),"
",102
"
", 新(扩)建港口码头(泊位：个),"
",15
"
", 新(扩)建客、货运站(个),"
",1
"
", 新(扩)建客、货运站(平方米),"
",23292
"
", 候机楼(座),"
",1
"
", 候机楼(平方米),"
",8000
"
", 造林面积(万亩),"
",0.21
"
", 有效灌溉面积(万亩),"
",5.5
"
", 商业冷藏库(万吨),"
",10.36
"
", 水产冷藏库(万吨),"
",0.02
