重 点 耗 能 工 业 企 业 能 源 加 工 转 换
"
", 5-3,"
",(2005年),"
"
"
",,"
",单位,"
",能源消费,合 计,"
",,"
",能源转换,产品
"
",#转换投入,"
",
"
",火 电,"
",供热,"
",炼油,"
",制气
"
",原煤,"
",吨,"
",9 266 826,"
",7 680 153,"
",5 442 127,"
",2 238 026,"
",0,"
",0,"
",0
"
",洗 精 煤,"
",吨,"
",617 282,"
",617 282,"
",0,"
",0,"
",0,"
",617 282,"
",0
"
",型煤,"
",吨,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",焦炭,"
",吨,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",461 987
"
",其他焦化产品,"
",吨,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",23 716
"
",焦炉煤气,"
",万立方米,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",14 628
"
",其他煤气,"
",万立方米,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",2 000
"
",原油,"
",吨,"
",2 043 064,"
",2 043 064,"
",0,"
",0,"
",2 043 064,"
",0,"
",0
"
",汽油,"
",吨,"
",12 033,"
",0,"
",0,"
",0,"
",0,"
",0,"
",555 632
"
",煤油,"
",吨,"
",3 000,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",柴油,"
",吨,"
",16 608,"
",2226,"
",2 012,"
",199,"
",15,"
",0,"
",883 693
"
",燃 料 油,"
",吨,"
",1 482 265,"
",1 482 265,"
",0,"
",0,"
",1 482 265,"
",0,"
",818 977
"
",液化石油气,"
",吨,"
",2 933,"
",2 933,"
",0,"
",0,"
",0,"
",2 933,"
",155 800
"
",炼厂干气,"
",吨,"
",47 553,"
",47 553,"
",0,"
",0,"
",45 557,"
",1 996,"
",1 875
"
",其他石油制品,"
",吨,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",399 036
"
",热力,"
",百万千焦,"
",14 060 905,"
",0,"
",0,"
",0,"
",0,"
",0,"
",40 733 263
"
",电力,"
",万千瓦时,"
",249 948,"
",0,"
",0,"
",0,"
",0,"
",0,"
",800 874
"
",其他燃料,"
",吨标准煤,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0,"
",0
"
",能源合计,"
",吨标准煤,"
",13 127 258,"
",11 163 748,"
",3 895 268,"
",1 596 866,"
",5 107 895,"
",563 718,"
",6 719 322
