"
",商 品 零 售 价 格 分 类 指 数
"
",7-4,"
",(2005年),"
"
"
",项  目,"
",指 数,"
",项 目,"
",指 数
"
",商品零售价格总指数,"
",99.3,"
", 3.音像器材类,"
",96.5
"
",一、食品,"
",103.0,"
",六、文化办公用品,"
",84.9
"
", 1.粮食,"
",103.9,"
",七、日用品,"
",96.4
"
", 2.淀粉及薯类,"
",105.9,"
", 1.日用百货,"
",98.1
"
", 3.干豆类及豆制品,"
",105.9,"
", 2.日用杂品,"
",99.4
"
", 4.油脂,"
",102.4,"
", 3.洗涤用品,"
",102.7
"
", 5.肉禽及其制品,"
",102.1,"
", 4.其他日用品,"
",93.8
"
", 6.蛋,"
",110.5,"
",八、体育娱乐用品,"
",99.6
"
", 7.水产品,"
",101.4,"
", 1.体育用品,"
",103.0
"
", 8.菜,"
",99.8,"
", 2.娱乐用品,"
",98.2
"
", 9.调味品,"
",116.3,"
",九、交通、通信用品,"
",86.7
"
", 10.糖,"
",98.5,"
", 1.交通运输机械,"
",91.7
"
", 11.干鲜瓜果,"
",114.8,"
", 2.通讯器材类,"
",73.7
"
", 12.糕点饼干面包,"
",98.4,"
",十、家具,"
",100.4
"
", 13.奶及奶制品,"
",99.1,"
",十一、化妆品类,"
",96.1
"
", 14.在外用膳食品,"
",100.9,"
",十二、金银珠宝类,"
",104.7
"
", 15.其他食品,"
",104.0,"
",十三、中西药品及医疗保健用品,"
",100.3
"
",二、饮料、烟酒,"
",100.8,"
", 1.医疗器具及用品,"
",105.0
"
", 1.茶及饮料,"
",101.3,"
", 2.中药材及中成药,"
",100.6
"
", 2.烟草,"
",101.9,"
", 3.西药,"
",99.4
"
", 3.酒,"
",99.2,"
", 4.保健器具及用品,"
",101.1
"
",三、服装、鞋帽类,"
",107.6,"
",十四、书报杂志及电子出版物,"
",99.8
"
", 1.服装,"
",108.2,"
", 1.教材及参考书,"
",104.8
"
", 2.鞋袜帽,"
",105.5,"
", 2.书报杂志,"
",100.2
"
", 3.其他,"
",83.8,"
", 3.电子音像制品,"
",95.3
"
",四、纺织品类,"
",93.2,"
",十五、燃料类,"
",112.2
"
", 1.衣着材料,"
",101.1,"
", 1.煤炭及制品类,"
",116.1
"
", 2.床上用品,"
",91.7,"
", 2.石油及制品类,"
",111.9
"
",五、家用电器及音像器材,"
",96.1,"
",十六、建筑材料及五金电料类,"
",103.6
"
", 1.家庭设备,"
",97.6,"
", 1.建筑装璜材料,"
",102.3
"
", 2.文娱用耐用消费品,"
",94.1,"
", 2.五金电料类,"
",105.5
