"
",居 民 消 费 价 格 分 类 指 数
"
",7-3,"
",(2005年),"
"
"
",项  目,"
",指 数,"
",项  目,"
",指  数
"
",居民消费价格总指数,"
",102.3,"
", 三、衣着,"
",108.3
"
",非食品价格指数,"
",102.4,"
", 1.服装,"
",109.4
"
",服务项目价格指数,"
",101.4,"
", 2.衣着材料,"
",102.7
"
",扣除鲜菜鲜果总指数,"
",102.1,"
", 3.鞋袜帽,"
",105.4
"
",消费品价格指数,"
",102.5,"
", 4.衣着加工服务,"
",105.4
"
",一、食品,"
",102.1,"
",四、家庭设备用品及维修服务,"
",99.3
"
", 1.粮食,"
",103.7,"
", 1.耐用消费品,"
",97.9
"
", 2.淀粉及薯类,"
",105.9,"
", 2.室内装饰品,"
",100.8
"
", 3.干豆类及豆制品,"
",106.2,"
", 3.床上用品,"
",93.3
"
", 4.油脂,"
",102.8,"
", 4.家庭日用杂品,"
",100.8
"
", 5.肉禽及其制品,"
",101.1,"
", 5.家庭服务及加工维修服务,"
",108.1
"
", 6.蛋类,"
",110.5,"
",五、医疗保健和个人用品,"
",99.4
"
", 7.水产品,"
",94.0,"
", 1.医疗保健,"
",100.2
"
", 8.菜,"
",99.7,"
", 2.个人用品及服务,"
",97.1
"
", 9.调味品,"
",116.8,"
",六、交通和通讯,"
",98.1
"
", 10.糖,"
",99.2,"
", 1.交通,"
",100.5
"
", 11.茶及饮料,"
",100.8,"
", 2.通讯,"
",95.8
"
", 12.干鲜瓜果类,"
",113.8,"
",七、娱乐教育文化用品及服务,"
",100.4
"
", 13.糕点饼干面包,"
",98.1,"
", 1.文娱用耐用消费品及服务,"
",96.4
"
", 14.奶及奶制品,"
",98.9,"
", 2.教育,"
",102.4
"
", 15.在外用膳食品,"
",100.9,"
", 3.文化娱乐用品,"
",101.0
"
", 16.其它食品及食品加工服务,"
",104.0,"
", 4.旅游及外出,"
",96.5
"
",二、烟酒及用品,"
",99.8,"
",八、居住,"
",107.7
"
", 1.烟草,"
",101.7,"
", 1.建房及装修材料,"
",104.4
"
", 2.酒,"
",99.2,"
", 2.租房,"
",100.0
"
", 3.吸烟饮酒用品,"
",95.2,"
", 3.自有住房,"
",108.9
"
", 4.水、电、燃料,"
",110.0,"
", ,"
", 
